127.0.0.1, 2018-12-02 16:08:03, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/default/index, HTTP/1.1, 200, 2.177000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:05, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-12-02 16:08:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-12-02 16:08:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/default/site, HTTP/1.1, 303, 0.554000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/default/index, HTTP/1.1, 200, 0.127000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.007000

127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:19, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-12-02 16:08:22, POST, /admin/default/index, HTTP/1.1, 303, 0.047000
127.0.0.1, 2018-12-02 16:08:22, GET, /admin/default/site, HTTP/1.1, 200, 0.210000
127.0.0.1, 2018-12-02 16:08:23, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-12-02 16:08:23, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-12-02 16:08:23, POST, /admin/default/check_version, HTTP/1.1, 200, 0.394000
127.0.0.1, 2018-12-02 16:08:23, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-12-02 16:08:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/default/index, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:36, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-12-02 16:08:37, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-12-02 16:08:37, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-12-02 16:08:39, GET, /admin/default/site, HTTP/1.1, 200, 0.105000
127.0.0.1, 2018-12-02 16:08:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-12-02 16:08:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-12-02 16:08:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-12-02 16:08:42, GET, /admin/default/site, HTTP/1.1, 200, 0.115000
127.0.0.1, 2018-12-02 16:08:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-12-02 16:08:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-12-02 16:08:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
